id,allegiance,type,location_post_title,county,parish,latlng,historical_person_post_status,location_post_status
51530,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51191,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51191,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51191,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51961,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51189,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51235,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51254,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51254,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55875,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55873,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51603,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51603,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51568,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
51521,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55786,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55773,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55763,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55756,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
55748,royalist,maimed_soldier,County of Devon (exact location undefined/uncertain),devon,0,,publish,publish
60773,royalist,maimed_soldier,County of Wiltshire (exact location undefined/uncertain),wiltshire,0,,publish,publish
48125,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
48121,parliamentarian,maimed_soldier,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
48116,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
48115,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
48114,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
48112,parliamentarian,maimed_soldier,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
48110,parliamentarian,maimed_soldier,"Macclesfield Hundred, Cheshire",cheshire,0,,publish,publish
