id,allegiance,type,location_post_title,county,parish,latlng,historical_person_post_status,location_post_status
55987,royalist,war_widow,"Widecombe In The Moor (Widecombe In The Moor Parish), Devon",devon,widecombe in the moor,"50.5767, -3.81261",publish,publish
75634,royalist,war_widow,"Newton Abbot (Wolborough with Newton Abbot Parish), Devon",devon,wolborough with newton abbot [c51],"50.5296, -3.61116",publish,publish
55937,royalist,war_widow,"Broadhempston (Broadhempston Parish), Devon",devon,broadhempston,"50.4830, -3.68689",publish,publish
55290,royalist,war_widow,"Bradninch (Bradninch Parish), Devon",devon,bradninch,"50.8263, -3.42373",publish,publish
48125,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48123,parliamentarian,war_widow,"Northenden (Northenden Parish), Cheshire",cheshire,northenden,"53.4061, -2.25894",publish,publish
48116,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48115,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48114,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48109,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48104,parliamentarian,war_widow,"Church Hulme (Sandbach Parish), Cheshire",cheshire,sandbach,"53.1818, -2.23148",publish,publish
48105,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48108,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48103,parliamentarian,war_widow,"Macclesfield Hundred, Cheshire",cheshire,0,", ",publish,publish
48099,parliamentarian,war_widow,"Northwich Hundred, Cheshire",cheshire,0,"53.2602, -2.51449",publish,publish
48098,parliamentarian,war_widow,"Northwich Hundred, Cheshire",cheshire,0,"53.2602, -2.51449",publish,publish
48097,parliamentarian,war_widow,"Northwich Hundred, Cheshire",cheshire,0,"53.2602, -2.51449",publish,publish
48092,parliamentarian,war_widow,"Northwich Hundred, Cheshire",cheshire,0,"53.2602, -2.51449",publish,publish
73652,parliamentarian,war_widow,"Bucklow Hundred, Cheshire",cheshire,0,"53.3449, -2.40524",publish,publish
48086,parliamentarian,war_widow,"Bucklow Hundred, Cheshire",cheshire,0,"53.3449, -2.40524",publish,publish
