Parish,Royalist,Parliamentarian,Total,percentRoyalist
AINDERBY STEEPLE,2,2,4,50%
ALDBOROUGH,1,1,2,50%
ALLERSTON,,1,1,0%
ALNE,4,4,8,50%
AMPLEFORTH,1,9,10,10%
APPLETON-LE-STREET,1,3,4,25%
ARNCLIFFE,,1,1,0%
AYSGARTH,2,,2,100%
AYTON,,4,4,0%
BARNINGHAM,,1,1,0%
BEDALE,,3,3,0%
BIRKBY,5,1,6,83%
BOSSALL,1,,1,100%
BRAFFERTON,,1,1,0%
BRANDSBY,,1,1,0%
BROMPTON,2,11,13,15%
BULMER,,1,1,0%
BURNESTON,,1,1,0%
CARLTON,,2,2,0%
CATTERICK,9,3,12,75%
CLEASBY,3,,3,100%
COLD KIRBY,,1,1,0%
COWESBY,,1,1,0%
COXWOLD,,3,3,0%
CRATHORNE,5,,5,100%
CRAYKE,,5,5,0%
DOWNHOLME,,2,2,0%
EASBY,1,3,4,25%
EASINGWOLD,1,15,16,6%
EAST HARLSEY,1,2,3,33%
EAST WITTON,,1,1,0%
ELLERBURN,5,,5,100%
FELIXKIRK,2,2,4,50%
FILEY,,1,1,0%
GILLING,,8,8,0%
GREAT SMEATON,,1,1,0%
GRINTON,3,3,6,50%
GUISBOROUGH,5,,5,100%
HAUXWELL,2,,2,100%
HAWNBY,,4,4,0%
HELMSLEY,6,60,66,9%
HORNBY,,1,1,0%
HOVINGHAM,,6,6,0%
HUNTINGTON,,1,1,0%
HUSTHWAITE,,4,4,0%
HUTTON BUSCEL,1,4,5,20%
INGLEBY GREENHOW,2,1,3,67%
KILBURN,,7,7,0%
KIRBY KNOWLE,,1,1,0%
KIRBY MISPERTON,2,2,4,50%
KIRBY SIGSTON,2,,2,100%
KIRBY WISKE,7,3,10,70%
KIRKBY,,3,3,0%
KIRKBY RAVENSWORTH,,3,3,0%
KIRKBYMOORSIDE,,1,1,0%
KIRKDALE,,5,5,0%
KIRKLEVINGTON,,8,8,0%
KIRKLINGTON,,2,2,0%
LASTINGHAM,,2,2,0%
LEAKE,,2,2,0%
LOFTUS,,1,1,0%
LYTHE,,2,2,0%
MALTON,6,12,18,33%
MANFIELD,1,,1,100%
MARRICK,1,,1,100%
MARSKE,2,3,5,40%
MASHAM,,3,3,0%
MELSONBY,,1,1,0%
MIDDLEHAM,1,1,2,50%
MIDDLESBROUGH,,1,1,0%
MIDDLETON TYAS,,1,1,0%
NEWTON UPON OUSE,,1,1,0%
NORTH OTTERINGTON,,3,3,0%
NORTHALLERTON,4,15,19,21%
NUNNINGTON,,2,2,0%
OLD BYLAND,,6,6,0%
ORMESBY,,6,6,0%
OSBALDWICK,,1,1,0%
OSMOTHERLEY,,7,7,0%
OSWALDKIRK,,21,21,0%
OVER SILTON,,1,1,0%
OVERTON,,4,4,0%
PATRICK BROMPTON,1,3,4,25%
PICKERING,11,1,12,92%
PICKHILL,,4,4,0%
RICHMOND,1,3,4,25%
ROKEBY,2,1,3,67%
ROMALDKIRK,,2,2,0%
RUDBY IN CLEVELAND,2,,2,100%
SCARBOROUGH,1,7,8,13%
SCAWTON,1,1,2,50%
SCRUTON,,2,2,0%
SEAMER,,1,1,0%
SHERIFF HUTTON,1,2,3,33%
SKELTON,,2,2,0%
SOUTH KILVINGTON,,7,7,0%
SOUTH OTTERINGTON,,4,4,0%
ST OLAVE,,3,3,0%
STAINTON,3,2,5,60%
STILLINGTON,,2,2,0%
STOKESLEY,3,23,26,12%
STONEGRAVE,1,,1,100%
STRENSALL,6,1,7,86%
SUTTON-ON-THE-FOREST,,5,5,0%
TERRINGTON,,2,2,0%
THIRKLEBY,,11,11,0%
THIRSK,2,38,40,5%
THORMANBY,,1,1,0%
THORNTON DALE,,4,4,0%
THORNTON-LE-STREET,1,5,6,17%
TOPCLIFFE,,13,13,0%
UPLEATHAM,,2,2,0%
WATH,,1,1,0%
WELL,,1,1,0%
WEST WITTON,,1,1,0%
WHITBY,,7,7,0%
WHORLTON,,10,10,0%
WYKEHAM,1,3,4,25%
YARM,,8,8,0%
(blank),2,3,5,40%
