id,allegiance,person,parish,latlng
1,Parliamentarian,"Abraham Barringham of Marrick, North Riding of Yorkshire",MARRICK,"54.3794,-1.88327"
2,Parliamentarian,"William Aram of Guisborough, North Riding of Yorkshire",GUISBOROUGH,"54.5358,-1.04998"
3,Parliamentarian,"Robert Gray of Kirby Misperton, North Riding of Yorkshire",KIRBY MISPERTON,"54.2039,-0.806704"
4,Parliamentarian,"Christopher Wood of Greenhow, North Riding of Yorkshire",INGLEBY GREENHOW,"54.0728,-1.82777"
5,Parliamentarian,"John England of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
6,Parliamentarian,"Randall Myers of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
7,Parliamentarian,"John England of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
8,Parliamentarian,"Randall Myers of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
9,Parliamentarian,"Frances Dawson of Farmanby, North Riding of Yorkshire",ELLERBURN,"54.2319,-0.726068"
10,Parliamentarian,"Randall Myers of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
11,Parliamentarian,"Randall Myers of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
12,Parliamentarian,"William Leedall of Fyling, North Riding of Yorkshire",,"54.4233,-0.558639"
13,Parliamentarian,"Robert Gray of Kirby Misperton, North Riding of Yorkshire",KIRBY MISPERTON,"54.2039,-0.806704"
14,Parliamentarian,"Randall Myers of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
15,Parliamentarian,"John England of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
16,Parliamentarian,"William Leedall of Fyling, North Riding of Yorkshire",,"54.4233,-0.558639"
17,Parliamentarian,"Randall Myers of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
18,Parliamentarian,"John England of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
19,Parliamentarian,"Thomasine Stevenson of Buttercrambe, North Riding of Yorkshire",BOSSALL,"54.0159,-0.880983"
20,Parliamentarian,"Anne Robinson of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
21,Parliamentarian,"John Nixon of Crathorne, North Riding of Yorkshire",CRATHORNE,"54.4607,-1.32197"
22,Parliamentarian,"Thomas Browne of Easingwold, North Riding of Yorkshire",EASINGWOLD,"54.1215,-1.19446"
23,Parliamentarian,"William Aram of Guisborough, North Riding of Yorkshire",GUISBOROUGH,"54.5358,-1.04998"
24,Parliamentarian,"Robert Taylerson of Stainton, North Riding of Yorkshire",STAINTON,"54.3644,-1.84048"
25,Parliamentarian,"Widow Foster of Pickering, North Riding of Yorkshire",PICKERING,"54.2462,-0.776653"
26,Parliamentarian,"John Hawe of Boltby, North Riding of Yorkshire",FELIXKIRK,"54.2727,-1.24832"
27,Parliamentarian,"Frances Dawson of Farmanby, North Riding of Yorkshire",ELLERBURN,"54.2319,-0.726068"
28,Parliamentarian,"Mary Fewler of Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
29,Parliamentarian,"Alice Marshall of Farmanby, North Riding of Yorkshire",ELLERBURN,"54.2319,-0.726068"
30,Parliamentarian,"John Nixon of Crathorne, North Riding of Yorkshire",CRATHORNE,"54.4607,-1.32197"
31,Parliamentarian,"Robert Taylerson of Stainton, North Riding of Yorkshire",STAINTON,"54.3644,-1.84048"
32,Parliamentarian,"Nicholas Gray of East Rounton, North Riding of Yorkshire",RUDBY IN CLEVELAND,"54.4231,-1.34952"
33,Parliamentarian,"John Hawe of Boltby, North Riding of Yorkshire",FELIXKIRK,"54.2727,-1.24832"
34,Parliamentarian,"Mary Fewler of Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
35,Parliamentarian,"Anthony Wilde of Cleasby, North Riding of Yorkshire",CLEASBY,"54.5111,-1.61393"
36,Parliamentarian,"Oliver Peake of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
37,Parliamentarian,"William Aram of Guisborough, North Riding of Yorkshire",GUISBOROUGH,"54.5358,-1.04998"
38,Parliamentarian,"Robert Taylerson of Stainton, North Riding of Yorkshire",STAINTON,"54.3644,-1.84048"
39,Parliamentarian,"Oliver Peake of Helmsley, North Riding of Yorkshire",HELMSLEY,"54.2453,-1.05817"
40,Parliamentarian,"Nicholas Gray of East Rounton, North Riding of Yorkshire",RUDBY IN CLEVELAND,"54.4231,-1.34952"
41,Parliamentarian,"Mary Fewler of Malton, North Riding of Yorkshire",MALTON,"54.1348,-0.796443"
42,Parliamentarian,"Leonard Ward of Maunby, North Riding of Yorkshire",KIRBY WISKE,"54.2719,-1.46190"
43,Parliamentarian,"Ann Turner of Hauxwell, North Riding of Yorkshire",HAUXWELL,"54.3366,-1.74519"
44,Parliamentarian,"Margaret Uring of Mount Grace, North Riding of Yorkshire",EAST HARLSEY,"54.3816,-1.31055"
45,Parliamentarian,"Elizabeth Robinson of Hutton Bonville, North Riding of Yorkshire",BIRKBY,"54.3974,-1.47016"
46,Parliamentarian,"Thomas Smith of Greenhow, North Riding of Yorkshire",INGLEBY GREENHOW,"54.0728,-1.82777"
47,Parliamentarian,"Anthony Wilde of Cleasby, North Riding of Yorkshire",CLEASBY,"54.5111,-1.61393"
48,Parliamentarian,"Margaret Denton of Crathorne, North Riding of Yorkshire",CRATHORNE,"54.4607,-1.32197"
49,Parliamentarian,"John Melmerby of Brompton-on-Swale, North Riding of Yorkshire",EASBY,"54.3924,-1.66460"
50,Parliamentarian,"Joan Wilkinson of Amotherby, North Riding of Yorkshire",APPLETON-LE-STREET,"54.1505,-0.851737"
51,Parliamentarian,"Anthony Wilde of Cleasby, North Riding of Yorkshire",CLEASBY,"54.5111,-1.61393"
52,Parliamentarian,"Mary Smith of Ampleforth, North Riding of Yorkshire",AMPLEFORTH,"54.2003,-1.10632"
53,Parliamentarian,"Thomas Gower of Haxby, North Riding of Yorkshire",STRENSALL,"54.0175,-1.07306"
